SK_ID_CURR,DAYS_BIRTH,CODE_GENDER,DAYS_EMPLOYED,NAME_FAMILY_STATUS_Married,FLAG_OWN_CAR,NAME_EDUCATION_TYPE_Highereducation,AMT_GOODS_PRICE,AMT_CREDIT,PAYMENT_RATE,AMT_ANNUITY,EXT_SOURCE_2,EXT_SOURCE_3,INCOME_PER_PERSON,CNT_FAM_MEMBERS,AMT_INCOME_TOTAL
100051,-9827,0,-758,0,0,0,0.1333200841502079,0.1256577038463528,0.8455064954606805,1.4004133714982607,0.608825456335961,6.32469636006369e-16,0.0636774187180259,-0.2672929034340631,0.0931312461442316
100360,-19676,1,-4483,1,0,0,-0.9284778946181442,-1.0049373122308152,-0.1737535110995081,-1.206723494391711,1.265797165023969,6.32469636006369e-16,-0.520206058133097,-0.2672929034340631,-0.381022498321954
112690,-13499,0,-1667,1,1,1,3.354911678822368,2.928241488370827,-0.8501810867296729,2.376667593600001,0.2812754688069622,0.0255369922071791,0.3556191571435874,1.851480777583296,1.2785156073096962
115623,-14887,0,-962,0,0,0,-1.3145862505339083,-1.3024407408329428,0.6788261129564289,-1.5123602492796255,-1.085202168720978,-1.3949525370879772,-0.0336364940904945,-1.326679743942743,-0.3019968742442565
117343,-16021,0,-3087,0,0,0,-0.6268307415589532,-0.6051047585516262,-0.0694250877011079,-0.5932976131025853,0.0658130852266629,1.4019866818990607,-0.325578232516056,-0.2672929034340631,-0.2229712501665588
124201,-15445,1,-1124,0,0,0,-1.0612026419641882,-1.027361971082696,-0.3243337112168142,-1.2826714606465546,0.5481247466557613,6.32469636006369e-16,-0.3580162034522294,0.7920939370746165,-0.0649200020111635
142711,-15327,0,-1317,1,1,0,0.2177812870067814,0.1704516246655991,2.1633572963943606,2.870483115078866,0.922946292879735,-1.6097396620716131,0.3556191571435874,-0.2672929034340631,0.3302081183773245
149387,-9951,1,-1942,1,1,0,0.9538003404712072,1.0467970995703544,-1.0897119836031637,0.1797112418151394,1.2788717783184025,-1.0788582452358253,0.8421887211861897,-0.2672929034340631,0.7253362387658127
153599,-12032,1,-4506,1,0,0,0.2660448314962519,0.4078161954376825,-0.961204623319174,-0.1874218420240664,-0.2662316792184696,-0.7475877299585211,-0.5526440290692705,0.7920939370746165,-0.3019968742442565
167414,-17408,1,-664,1,1,0,1.5450287604672217,1.6685163344879916,-1.2177237088101691,0.4324611538049444,1.2167634986377105,1.3548139626288225,-0.130950406899015,-0.2672929034340631,-0.0649200020111635
183461,-11342,0,-335,1,1,0,-1.230125047677335,-1.2819217348083956,2.3317803894466067,-1.2439287734072415,-0.6752826013633932,6.32469636006369e-16,0.0636774187180259,-0.2672929034340631,0.0931312461442316
184382,-12289,1,-1812,1,0,1,-0.8560825778839384,-0.9384610508121958,2.8992558161997963,-0.0287613133297362,0.9474842368776352,-0.4733964089163091,-0.130950406899015,-0.2672929034340631,-0.0649200020111635
198262,-20057,1,-798,1,0,0,-0.9284778946181442,-1.0049373122308152,-0.1737535110995081,-1.206723494391711,-0.5956418730767523,1.1392719095233976,-0.5980571883799133,-0.2672929034340631,-0.4442429975841122
211071,-10279,0,-610,0,1,1,0.9417344543488396,0.84398910535905,0.9316821402770876,2.981483988835946,0.5839935621792686,-0.036093267197035,2.107269587696956,-1.326679743942743,0.5672849906104175
